0,60,60,60,60,60,60
100,60,60,60,60,60,60
200,60,60,60,60,60,60
300,60,60,60,60,60,60
400,60,60,60,60,60,60
500,60,60,60,60,60,60
600,60,60,60,60,60,60
700,60,60,60,60,60,60
800,60,60,60,60,60,60
900,60,60,60,60,60,60
1000,85,85,85,85,85,85
1100,148,150,152,154,155,157
1200,200,231,234,237,239,242
1300,216,312,316,320,323,327
1400,231,339,398,403,407,412
1500,247,362,437,486,491,497
1600,262,384,464,518,570,582
1700,277,406,491,548,603,655
1800,292,428,517,578,635,691
1900,307,450,544,607,668,726
2000,322,472,570,637,701,762
2100,337,494,597,667,734,797
2200,352,516,624,697,766,833
2300,367,538,650,726,799,869
2400,382,560,677,756,832,904
2500,397,582,704,786,865,940
2600,412,604,730,816,897,975
2700,427,626,757,845,930,1011
2800,442,648,783,875,963,1046
2900,457,670,810,905,995,1082
3000,472,692,837,935,1028,1118
3100,487,714,863,964,1061,1153
3200,502,737,890,994,1094,1189
3300,517,759,917,1024,1126,1224
3400,532,781,943,1054,1159,1260
3500,547,803,970,1083,1192,1295
3600,562,825,997,1113,1224,1331
3700,577,847,1023,1143,1257,1367
3800,592,869,1050,1173,1290,1402
3900,607,891,1076,1202,1323,1438
4000,621,912,1102,1230,1353,1471
4100,634,931,1125,1256,1382,1502
4200,647,950,1148,1282,1410,1533
4300,660,969,1171,1308,1439,1564
4400,673,988,1194,1334,1467,1595
4500,686,1007,1217,1359,1495,1625
4600,699,1026,1240,1385,1524,1656
4700,712,1045,1263,1411,1552,1687
4800,725,1064,1286,1437,1580,1718
4900,738,1084,1309,1463,1609,1749
5000,751,1103,1332,1488,1637,1780
5100,764,1122,1356,1514,1666,1810
5200,777,1141,1379,1540,1694,1841
5300,790,1160,1402,1566,1722,1872
5400,799,1172,1415,1581,1739,1890
5500,805,1177,1419,1585,1744,1896
5600,810,1181,1423,1590,1749,1901
5700,815,1186,1427,1594,1753,1906
5800,820,1191,1431,1598,1758,1911
5900,825,1195,1435,1603,1763,1916
6000,831,1200,1439,1607,1768,1922
6100,837,1208,1449,1618,1780,1935
6200,844,1217,1459,1629,1792,1948
6300,851,1226,1469,1641,1805,1962
6400,858,1234,1479,1652,1817,1975
6500,865,1243,1489,1663,1829,1988
6600,871,1251,1499,1674,1841,2002
6700,881,1263,1513,1690,1859,2021
6800,892,1278,1530,1709,1880,2044
6900,903,1292,1548,1729,1902,2067
7000,914,1306,1565,1748,1923,2090
7100,925,1320,1582,1767,1944,2113
7200,935,1335,1600,1787,1965,2136
7300,946,1348,1616,1805,1986,2159
7400,954,1360,1630,1820,2003,2177
7500,962,1372,1643,1836,2019,2195
7600,969,1384,1657,1851,2036,2213
7700,977,1396,1670,1866,2052,2231
7800,984,1407,1683,1880,2068,2248
7900,991,1419,1696,1895,2084,2266
8000,996,1426,1704,1903,2094,2276
8100,1000,1429,1709,1908,2099,2282
8200,1004,1433,1713,1914,2105,2288
8300,1008,1437,1718,1919,2110,2294
8400,1012,1441,1722,1924,2116,2300
8500,1016,1444,1727,1929,2122,2306
8600,1020,1448,1731,1934,2127,2312
8700,1026,1456,1740,1944,2138,2324
8800,1033,1464,1749,1953,2149,2336
8900,1039,1472,1758,1963,2160,2347
9000,1046,1480,1766,1973,2170,2359
9100,1052,1488,1775,1983,2181,2371
9200,1059,1496,1784,1993,2192,2382
9300,1065,1502,1792,2002,2202,2393
9400,1070,1507,1799,2010,2211,2403
9500,1075,1511,1807,2018,2220,2413
9600,1080,1516,1814,2026,2229,2423
9700,1085,1520,1822,2035,2238,2433
9800,1090,1524,1829,2043,2247,2443
9900,1094,1529,1836,2051,2256,2453
10000,1099,1533,1844,2059,2265,2463
10100,1104,1538,1851,2068,2275,2472
10200,1109,1542,1859,2076,2284,2482
10300,1115,1549,1867,2086,2294,2494
10400,1123,1560,1878,2098,2308,2509
10500,1130,1571,1889,2110,2321,2523
10600,1137,1582,1900,2123,2335,2538
10700,1145,1593,1911,2135,2349,2553
10800,1152,1604,1922,2147,2362,2568
10900,1159,1615,1933,2160,2376,2582
11000,1167,1626,1944,2172,2389,2597
11100,1174,1637,1956,2185,2403,2612
11200,1182,1649,1968,2198,2418,2628
11300,1191,1661,1980,2212,2433,2644
11400,1199,1673,1992,2225,2448,2660
11500,1207,1685,2004,2239,2462,2677
11600,1215,1695,2016,2252,2477,2693
11700,1222,1705,2029,2266,2493,2710
11800,1229,1714,2041,2280,2508,2726
11900,1237,1723,2054,2294,2523,2743
12000,1244,1732,2066,2308,2539,2759
12100,1252,1742,2078,2322,2554,2776
12200,1259,1751,2091,2336,2569,2793
12300,1267,1760,2103,2349,2584,2809
12400,1274,1769,2116,2363,2600,2826
12500,1282,1778,2128,2377,2615,2842
12600,1289,1788,2141,2391,2630,2859
12700,1296,1797,2153,2405,2645,2876
12800,1304,1806,2165,2419,2661,2892
12900,1311,1815,2178,2433,2676,2909
13000,1319,1825,2190,2447,2691,2925
13100,1326,1834,2203,2461,2707,2942
13200,1334,1843,2215,2474,2722,2959
13300,1341,1852,2228,2488,2737,2975
13400,1348,1861,2238,2500,2750,2990
13500,1353,1868,2247,2510,2761,3001
13600,1359,1875,2255,2519,2771,3012
13700,1364,1882,2264,2529,2781,3023
13800,1370,1889,2272,2538,2792,3035
13900,1375,1896,2281,2547,2802,3046
14000,1381,1903,2289,2557,2812,3057
14100,1386,1910,2297,2566,2822,3068
14200,1391,1916,2304,2574,2831,3078
14300,1396,1922,2312,2582,2841,3088
14400,1401,1929,2319,2591,2850,3098
14500,1406,1935,2327,2599,2859,3108
14600,1410,1941,2334,2607,2868,3118
14700,1415,1947,2342,2616,2877,3128
14800,1420,1954,2349,2624,2886,3138
14900,1425,1960,2357,2632,2896,3147
15000,1430,1966,2364,2641,2905,3157
15100,1435,1972,2371,2649,2914,3167
15200,1440,1978,2379,2657,2923,3177
15300,1444,1985,2386,2666,2932,3187
15400,1449,1991,2394,2674,2941,3197
15500,1454,1997,2401,2682,2950,3207
15600,1459,2003,2409,2691,2960,3217
15700,1464,2010,2416,2699,2969,3227
15800,1469,2016,2424,2707,2978,3237
15900,1474,2022,2431,2715,2987,3247
16000,1478,2028,2439,2724,2996,3257
16100,1484,2035,2445,2732,3005,3266
16200,1490,2041,2452,2739,3013,3275
16300,1495,2047,2459,2747,3022,3285
16400,1501,2053,2466,2755,3030,3294
16500,1506,2059,2473,2763,3039,3303
16600,1512,2065,2480,2770,3047,3313
16700,1518,2071,2487,2778,3056,3322
